,Lineup
19,"['Walker Buehler (15258586)', 'Jose Berrios (15257965)', 'Gary Sanchez (15258079)', 'Howie Kendrick (15258070)', 'Adam Frazier (15258194)', 'Bobby Dalbec (15258279)', 'Javier Baez (15258058)', 'Franmil Reyes (15258094)', 'Bryce Harper (15257979)', 'AJ Pollock (15258091)']"
20,"['Max Scherzer (15257957)', 'Jose Berrios (15257965)', 'Willson Contreras (15258020)', 'Justin Smoak (15258112)', 'Keston Hiura (15258000)', 'Josh Donaldson (15258175)', 'Adalberto Mondesi (15258218)', 'Ben Gamel (15258252)', 'Trent Grisham (15258083)', 'Franmil Reyes (15258094)']"
21,"['Walker Buehler (15258586)', 'Triston McKenzie (15257970)', 'Gary Sanchez (15258079)', 'Cody Bellinger (15257984)', 'Adam Frazier (15258194)', 'Josh Donaldson (15258175)', 'Javier Baez (15258058)', 'Christian Yelich (15258006)', 'Hunter Renfroe (15258151)', 'Eddie Rosario (15258085)']"
22,"['Max Scherzer (15257957)', 'Jose Berrios (15257965)', 'Omar Narvaez (15258140)', 'Shohei Ohtani (15258029)', 'Jonathan Schoop (15258064)', 'Bobby Dalbec (15258279)', 'Xander Bogaerts (15258001)', 'Trent Grisham (15258083)', 'Tyler Naquin (15258296)', 'Christian Yelich (15258006)']"
23,"['Jordan Montgomery (15257966)', 'Dinelson Lamet (15257959)', 'Roberto Perez (15258281)', 'Carlos Santana (15258097)', 'Adam Frazier (15258194)', 'Manny Machado (15258022)', 'Xander Bogaerts (15258001)', 'Franmil Reyes (15258094)', 'Ian Happ (15258086)', 'Shohei Ohtani (15258029)']"
24,"['Walker Buehler (15258586)', 'Max Scherzer (15257957)', 'Omar Narvaez (15258140)', 'Carlos Santana (15258097)', 'Michael Chavis (15258110)', 'Bobby Dalbec (15258279)', 'Trea Turner (15257986)', 'Eddie Rosario (15258085)', 'Trent Grisham (15258083)', 'Daulton Varsho (15258498)']"
25,"['Jose Berrios (15257965)', 'Charlie Morton (15257964)', 'Austin Romine (15258143)', 'Luke Voit (15258071)', 'Jose Peraza (15258324)', 'Jose Ramirez (15258011)', 'Francisco Lindor (15258007)', 'Franmil Reyes (15258094)', 'J.D. Martinez (15258003)', 'Alex Verdugo (15258039)']"
26,"['Triston McKenzie (15257970)', 'Adrian Houser (15258614)', 'Willson Contreras (15258020)', 'Josh Bell (15258155)', 'Kevin Newman (15258129)', 'Manny Machado (15258022)', 'Tim Anderson (15257991)', 'Randy Arozarena (15258226)', 'J.D. Martinez (15258003)', 'Christian Yelich (15258006)']"
27,"['Adrian Houser (15258614)', 'Jordan Montgomery (15257966)', 'Omar Narvaez (15258140)', 'Eric Hosmer (15258062)', 'Cesar Hernandez (15258088)', 'Manny Machado (15258022)', 'Javier Baez (15258058)', 'Juan Soto (15257981)', 'Max Kepler (15258061)', 'Jose Peraza (15258324)']"
28,"['Walker Buehler (15258586)', 'Jose Berrios (15257965)', 'Yasmani Grandal (15258024)', 'Mitch Moreland (15258080)', 'DJ LeMahieu (15258035)', 'Josh Donaldson (15258175)', 'Adalberto Mondesi (15258218)', 'Jose Peraza (15258324)', 'Christian Yelich (15258006)', 'Shohei Ohtani (15258029)']"
29,"['Adrian Houser (15258614)', 'Walker Buehler (15258586)', 'Roberto Perez (15258281)', 'Bobby Dalbec (15258279)', 'Keston Hiura (15258000)', 'Jose Ramirez (15258011)', 'Javier Baez (15258058)', 'Trent Grisham (15258083)', 'Whit Merrifield (15257996)', 'Ben Gamel (15258252)']"
30,"['Max Scherzer (15257957)', 'Jose Berrios (15257965)', 'Jacob Stallings (15258258)', 'Eric Hosmer (15258062)', 'Adam Frazier (15258194)', 'Jose Ramirez (15258011)', 'Javier Baez (15258058)', 'J.D. Martinez (15258003)', 'Aaron Hicks (15258148)', 'Ian Happ (15258086)']"
31,"['Max Scherzer (15257957)', 'Adrian Houser (15258614)', 'Kurt Suzuki (15258087)', 'Bobby Dalbec (15258279)', 'Keston Hiura (15258000)', 'Manny Machado (15258022)', 'Tyler Wade (15258388)', 'Juan Soto (15257981)', 'Aaron Hicks (15258148)', 'Randy Arozarena (15258226)']"
32,"['Max Scherzer (15257957)', 'Kyle Hendricks (15257963)', 'Daulton Varsho (15258498)', 'Eric Hosmer (15258062)', 'Jose Peraza (15258324)', 'DJ LeMahieu (15258035)', 'Jorge Polanco (15258025)', 'Trent Grisham (15258083)', 'Jay Bruce (15258298)', 'Juan Soto (15257981)']"
33,"['Adrian Houser (15258614)', 'Max Scherzer (15257957)', 'Willson Contreras (15258020)', 'Carlos Santana (15258097)', 'Jose Peraza (15258324)', 'Manny Machado (15258022)', 'Xander Bogaerts (15258001)', 'Wil Myers (15258127)', 'Tyler Naquin (15258296)', 'Trent Grisham (15258083)']"
34,"['Jose Berrios (15257965)', 'Dinelson Lamet (15257959)', 'Willson Contreras (15258020)', 'Luke Voit (15258071)', 'Jonathan Schoop (15258064)', 'Bobby Dalbec (15258279)', 'Francisco Lindor (15258007)', 'Victor Reyes (15258186)', 'Trent Grisham (15258083)', 'Max Kepler (15258061)']"
35,"['Max Scherzer (15257957)', 'Jose Berrios (15257965)', 'Willson Contreras (15258020)', 'Luke Voit (15258071)', 'Jonathan Schoop (15258064)', 'Josh Donaldson (15258175)', 'Javier Baez (15258058)', 'Gregory Polanco (15258267)', 'Juan Soto (15257981)', 'Jose Peraza (15258324)']"
36,"['Dinelson Lamet (15257959)', 'Jose Berrios (15257965)', 'Omar Narvaez (15258140)', 'Eric Hosmer (15258062)', 'Kevin Newman (15258129)', 'Manny Machado (15258022)', 'Tyler Wade (15258388)', 'Max Kepler (15258061)', 'Franmil Reyes (15258094)', 'Christian Yelich (15258006)']"
37,"['Jordan Montgomery (15257966)', 'Triston McKenzie (15257970)', 'Daulton Varsho (15258498)', 'Max Muncy (15257988)', 'Luis Urias (15258105)', 'Jose Ramirez (15258011)', 'Trea Turner (15257986)', 'Nelson Cruz (15257978)', 'Adam Frazier (15258194)', 'Trent Grisham (15258083)']"
38,"['Kyle Hendricks (15257963)', 'Charlie Morton (15257964)', 'Omar Narvaez (15258140)', 'Shohei Ohtani (15258029)', 'Luis Urias (15258105)', 'Jose Ramirez (15258011)', 'Adalberto Mondesi (15258218)', 'J.D. Martinez (15258003)', 'Trent Grisham (15258083)', 'Jorge Soler (15258074)']"
39,"['Max Scherzer (15257957)', 'Jose Berrios (15257965)', 'Yasmani Grandal (15258024)', 'Eric Hosmer (15258062)', 'Cesar Hernandez (15258088)', 'Josh Donaldson (15258175)', 'Kevin Newman (15258129)', 'Shohei Ohtani (15258029)', 'Adam Eaton (15258124)', 'Clint Frazier (15258108)']"
40,"['Jordan Montgomery (15257966)', 'Zack Wheeler (15257960)', 'Kevan Smith (15258191)', 'Luke Voit (15258071)', 'Adam Frazier (15258194)', 'Jose Ramirez (15258011)', 'Francisco Lindor (15258007)', 'Byron Buxton (15258139)', 'Franmil Reyes (15258094)', 'Christian Yelich (15258006)']"
41,"['Jose Berrios (15257965)', 'Kyle Hendricks (15257963)', 'Gary Sanchez (15258079)', 'Shohei Ohtani (15258029)', 'Keston Hiura (15258000)', 'Luis Urias (15258105)', 'Javier Baez (15258058)', 'Ian Happ (15258086)', 'Christian Yelich (15258006)', 'Tyler Naquin (15258296)']"
42,"['Dinelson Lamet (15257959)', 'Adrian Houser (15258614)', 'Omar Narvaez (15258140)', 'Mitch Moreland (15258080)', 'Adam Frazier (15258194)', 'Bobby Dalbec (15258279)', 'Trea Turner (15257986)', 'J.D. Martinez (15258003)', 'Victor Reyes (15258186)', 'Franmil Reyes (15258094)']"
43,"['Triston McKenzie (15257970)', 'Max Scherzer (15257957)', 'Yasmani Grandal (15258024)', 'Colin Moran (15258136)', 'Cesar Hernandez (15258088)', 'Manny Machado (15258022)', 'Trea Turner (15257986)', 'Jose Peraza (15258324)', 'Trent Grisham (15258083)', 'Max Kepler (15258061)']"
44,"['Triston McKenzie (15257970)', 'Max Scherzer (15257957)', 'Roberto Perez (15258281)', 'Carlos Santana (15258097)', 'Keston Hiura (15258000)', 'Manny Machado (15258022)', 'Adalberto Mondesi (15258218)', 'Franmil Reyes (15258094)', 'Wil Myers (15258127)', 'Juan Soto (15257981)']"
45,"['Dinelson Lamet (15257959)', 'Walker Buehler (15258586)', 'Willson Contreras (15258020)', 'Josh Bell (15258155)', 'Adam Frazier (15258194)', 'Jose Ramirez (15258011)', 'Javier Baez (15258058)', 'Trent Grisham (15258083)', 'Jose Peraza (15258324)', 'Daulton Varsho (15258498)']"
46,"['Jose Berrios (15257965)', 'Dinelson Lamet (15257959)', 'Willson Contreras (15258020)', 'Bobby Dalbec (15258279)', 'Cesar Hernandez (15258088)', 'Josh Donaldson (15258175)', 'Adalberto Mondesi (15258218)', 'Christian Yelich (15258006)', 'Juan Soto (15257981)', 'Hunter Renfroe (15258151)']"
47,"['Jordan Montgomery (15257966)', 'Walker Buehler (15258586)', 'Kurt Suzuki (15258087)', 'Mitch Moreland (15258080)', 'Cesar Hernandez (15258088)', 'Bobby Dalbec (15258279)', 'Francisco Lindor (15258007)', 'Franmil Reyes (15258094)', 'Shohei Ohtani (15258029)', 'Wil Myers (15258127)']"
48,"['Dinelson Lamet (15257959)', 'Jose Berrios (15257965)', 'Daulton Varsho (15258498)', 'Eric Hosmer (15258062)', 'Jonathan Schoop (15258064)', 'Jose Ramirez (15258011)', 'Francisco Lindor (15258007)', 'Andrew McCutchen (15258090)', 'Tyler Naquin (15258296)', 'Christian Yelich (15258006)']"
49,"['Charlie Morton (15257964)', 'Adrian Houser (15258614)', 'Roberto Perez (15258281)', 'Shohei Ohtani (15258029)', 'Jake Cronenworth (15258100)', 'Jose Ramirez (15258011)', 'Xander Bogaerts (15258001)', 'Wil Myers (15258127)', 'Max Kepler (15258061)', 'AJ Pollock (15258091)']"
50,"['Max Scherzer (15257957)', 'Jose Berrios (15257965)', 'Kurt Suzuki (15258087)', 'Michael Chavis (15258110)', 'Cesar Hernandez (15258088)', 'Manny Machado (15258022)', 'Javier Baez (15258058)', 'Victor Robles (15258396)', 'Christian Yelich (15258006)', 'Victor Reyes (15258186)']"
51,"['Jose Berrios (15257965)', 'Kyle Hendricks (15257963)', 'Kurt Suzuki (15258087)', 'Josh Bell (15258155)', 'Cesar Hernandez (15258088)', 'Jose Ramirez (15258011)', 'Francisco Lindor (15258007)', 'Aaron Hicks (15258148)', 'Mike Tauchman (15258190)', 'J.D. Martinez (15258003)']"
52,"['Jose Berrios (15257965)', 'Adrian Houser (15258614)', 'Omar Narvaez (15258140)', 'Mitch Moreland (15258080)', 'Keston Hiura (15258000)', 'Jose Ramirez (15258011)', 'Javier Baez (15258058)', 'Adam Frazier (15258194)', 'Avisail Garcia (15258163)', 'Christian Yelich (15258006)']"
53,"['Jose Berrios (15257965)', 'Charlie Morton (15257964)', 'Willson Contreras (15258020)', 'Eric Hosmer (15258062)', 'Cesar Hernandez (15258088)', 'Josh Donaldson (15258175)', 'Adalberto Mondesi (15258218)', 'J.D. Martinez (15258003)', 'Shohei Ohtani (15258029)', 'Trent Grisham (15258083)']"
54,"['Charlie Morton (15257964)', 'Jordan Montgomery (15257966)', 'Gary Sanchez (15258079)', 'Cody Bellinger (15257984)', 'Cesar Hernandez (15258088)', 'Manny Machado (15258022)', 'Xander Bogaerts (15258001)', 'Ian Happ (15258086)', 'Trent Grisham (15258083)', 'Jose Peraza (15258324)']"
55,"['Jose Berrios (15257965)', 'Triston McKenzie (15257970)', 'Willson Contreras (15258020)', 'Asdrubal Cabrera (15258026)', 'Jake Cronenworth (15258100)', 'Jose Ramirez (15258011)', 'Xander Bogaerts (15258001)', 'Shohei Ohtani (15258029)', 'Nomar Mazara (15258349)', 'Ian Happ (15258086)']"
56,"['Jose Berrios (15257965)', 'Max Scherzer (15257957)', 'Willson Contreras (15258020)', 'Bobby Dalbec (15258279)', 'Jose Peraza (15258324)', 'Jose Ramirez (15258011)', 'Trea Turner (15257986)', 'Trent Grisham (15258083)', 'Ian Happ (15258086)', 'Victor Reyes (15258186)']"
57,"['Adrian Houser (15258614)', 'Dinelson Lamet (15257959)', 'Kurt Suzuki (15258087)', 'Carlos Santana (15258097)', 'Cesar Hernandez (15258088)', 'Gio Urshela (15258119)', 'Willy Adames (15258089)', 'Christian Yelich (15258006)', 'Randy Arozarena (15258226)', 'Ian Happ (15258086)']"
58,"['Adrian Houser (15258614)', 'Triston McKenzie (15257970)', 'Willson Contreras (15258020)', 'Luke Voit (15258071)', 'Kevin Newman (15258129)', 'Josh Donaldson (15258175)', 'Javier Baez (15258058)', 'Eddie Rosario (15258085)', 'Juan Soto (15257981)', 'Christian Yelich (15258006)']"
59,"['Kyle Hendricks (15257963)', 'Triston McKenzie (15257970)', 'Roberto Perez (15258281)', 'Luke Voit (15258071)', 'Adam Frazier (15258194)', 'Jose Ramirez (15258011)', 'Trea Turner (15257986)', 'J.D. Martinez (15258003)', 'Juan Soto (15257981)', 'Randy Arozarena (15258226)']"
60,"['Kyle Hendricks (15257963)', 'Max Scherzer (15257957)', 'Gary Sanchez (15258079)', 'Mitch Moreland (15258080)', 'Cesar Hernandez (15258088)', 'Bobby Dalbec (15258279)', 'Javier Baez (15258058)', 'Trent Grisham (15258083)', 'Max Kepler (15258061)', 'Franmil Reyes (15258094)']"
61,"['Kyle Hendricks (15257963)', 'Triston McKenzie (15257970)', 'Willson Contreras (15258020)', 'Shohei Ohtani (15258029)', 'Adam Frazier (15258194)', 'Manny Machado (15258022)', 'Corey Seager (15257993)', 'Josh Naylor (15258539)', 'Christian Yelich (15258006)', 'Franmil Reyes (15258094)']"
62,"['Adrian Houser (15258614)', 'Jordan Montgomery (15257966)', 'Daulton Varsho (15258498)', 'Eric Hosmer (15258062)', 'Keston Hiura (15258000)', 'Jose Ramirez (15258011)', 'Francisco Lindor (15258007)', 'Christian Yelich (15258006)', 'Trent Grisham (15258083)', 'Wil Myers (15258127)']"
63,"['Max Scherzer (15257957)', 'Walker Buehler (15258586)', 'Daulton Varsho (15258498)', 'Anthony Rizzo (15258004)', 'Keston Hiura (15258000)', 'Luis Urias (15258105)', 'Tyler Wade (15258388)', 'Tyler Naquin (15258296)', 'Wil Myers (15258127)', 'Trent Grisham (15258083)']"
64,"['Kyle Hendricks (15257963)', 'Max Scherzer (15257957)', 'Kevan Smith (15258191)', 'Mitch Moreland (15258080)', 'Adam Frazier (15258194)', 'Josh Donaldson (15258175)', 'Trea Turner (15257986)', 'Trent Grisham (15258083)', 'Juan Soto (15257981)', 'Victor Robles (15258396)']"
65,"['Triston McKenzie (15257970)', 'Max Scherzer (15257957)', 'Roberto Perez (15258281)', 'Bobby Dalbec (15258279)', 'Luis Urias (15258105)', 'Josh Donaldson (15258175)', 'Javier Baez (15258058)', 'Christian Yelich (15258006)', 'Mike Trout (15257980)', 'J.D. Martinez (15258003)']"
66,"['Triston McKenzie (15257970)', 'Max Scherzer (15257957)', 'Gary Sanchez (15258079)', 'Mitch Moreland (15258080)', 'Cesar Hernandez (15258088)', 'Jose Ramirez (15258011)', 'Trea Turner (15257986)', 'Trent Grisham (15258083)', 'Tyler Naquin (15258296)', 'Ian Happ (15258086)']"
67,"['Jose Berrios (15257965)', 'Spencer Turnbull (15258611)', 'Kevan Smith (15258191)', 'Justin Smoak (15258112)', 'Jake Cronenworth (15258100)', 'Max Muncy (15257988)', 'Kevin Newman (15258129)', 'Christian Yelich (15258006)', 'Eddie Rosario (15258085)', 'Eloy Jimenez (15258028)']"
68,"['Spencer Turnbull (15258611)', 'Max Scherzer (15257957)', 'Roberto Perez (15258281)', 'Jose Martinez (15259170)', 'Keston Hiura (15258000)', 'Manny Machado (15258022)', 'Javier Baez (15258058)', 'Victor Reyes (15258186)', 'Jose Peraza (15258324)', 'Ian Happ (15258086)']"
69,"['Jose Berrios (15257965)', 'Max Scherzer (15257957)', 'Gary Sanchez (15258079)', 'Mitch Moreland (15258080)', 'Jonathan Schoop (15258064)', 'Manny Machado (15258022)', 'Javier Baez (15258058)', 'Max Kepler (15258061)', 'Tyler Naquin (15258296)', 'Christin Stewart (15258257)']"
70,"['Walker Buehler (15258586)', 'Triston McKenzie (15257970)', 'Yasmani Grandal (15258024)', 'Justin Smoak (15258112)', 'Jake Cronenworth (15258100)', 'Josh Donaldson (15258175)', 'Kevin Newman (15258129)', 'Eddie Rosario (15258085)', 'J.D. Martinez (15258003)', 'Wil Myers (15258127)']"
71,"['Walker Buehler (15258586)', 'Dinelson Lamet (15257959)', 'Kurt Suzuki (15258087)', 'Josh Bell (15258155)', 'Jose Peraza (15258324)', 'Josh Donaldson (15258175)', 'Kevin Newman (15258129)', 'J.D. Martinez (15258003)', 'Trent Grisham (15258083)', 'Franmil Reyes (15258094)']"
72,"['Kyle Hendricks (15257963)', 'Zack Wheeler (15257960)', 'Omar Narvaez (15258140)', 'Carlos Santana (15258097)', 'Jose Peraza (15258324)', 'Jose Ramirez (15258011)', 'Francisco Lindor (15258007)', 'Tyler Naquin (15258296)', 'Juan Soto (15257981)', 'Victor Reyes (15258186)']"
73,"['Dinelson Lamet (15257959)', 'Kyle Hendricks (15257963)', 'Willson Contreras (15258020)', 'Justin Smoak (15258112)', 'Kevin Newman (15258129)', 'Josh Donaldson (15258175)', 'Trea Turner (15257986)', 'Aaron Hicks (15258148)', 'Hunter Renfroe (15258151)', 'Wil Myers (15258127)']"
74,"['Triston McKenzie (15257970)', 'Max Scherzer (15257957)', 'Gary Sanchez (15258079)', 'Josh Bell (15258155)', 'Keston Hiura (15258000)', 'Jose Ramirez (15258011)', 'Javier Baez (15258058)', 'Gregory Polanco (15258267)', 'J.D. Martinez (15258003)', 'Randy Arozarena (15258226)']"
75,"['Max Scherzer (15257957)', 'Triston McKenzie (15257970)', 'Gary Sanchez (15258079)', 'Luke Voit (15258071)', 'DJ LeMahieu (15258035)', 'Jose Ramirez (15258011)', 'Xander Bogaerts (15258001)', 'Christian Yelich (15258006)', 'Delino DeShields (15258515)', 'Victor Reyes (15258186)']"
76,"['Jose Berrios (15257965)', 'Adrian Houser (15258614)', 'Willson Contreras (15258020)', 'Mitch Moreland (15258080)', 'Adam Frazier (15258194)', 'Eric Sogard (15258256)', 'Francisco Lindor (15258007)', 'Ian Happ (15258086)', 'Max Kepler (15258061)', 'J.D. Martinez (15258003)']"
77,"['Max Scherzer (15257957)', 'Adrian Houser (15258614)', 'Daulton Varsho (15258498)', 'Eric Hosmer (15258062)', 'Jake Cronenworth (15258100)', 'Bobby Dalbec (15258279)', 'Adalberto Mondesi (15258218)', 'J.D. Martinez (15258003)', 'Trent Grisham (15258083)', 'Juan Soto (15257981)']"
78,"['Max Scherzer (15257957)', 'Walker Buehler (15258586)', 'Roberto Perez (15258281)', 'Bobby Dalbec (15258279)', 'Jake Cronenworth (15258100)', 'Luis Urias (15258105)', 'Trea Turner (15257986)', 'Eloy Jimenez (15258028)', 'Trent Grisham (15258083)', 'Tyler Naquin (15258296)']"
79,"['Max Scherzer (15257957)', 'Kyle Hendricks (15257963)', 'Daulton Varsho (15258498)', 'Howie Kendrick (15258070)', 'Keston Hiura (15258000)', 'Jose Ramirez (15258011)', 'Tyler Wade (15258388)', 'Ben Gamel (15258252)', 'Cody Bellinger (15257984)', 'Victor Reyes (15258186)']"
80,"['Max Scherzer (15257957)', 'Jose Berrios (15257965)', 'Jacob Stallings (15258258)', 'Jose Martinez (15259170)', 'Jose Peraza (15258324)', 'Josh Donaldson (15258175)', 'Xander Bogaerts (15258001)', 'Mike Trout (15257980)', 'Trent Grisham (15258083)', 'Max Kepler (15258061)']"
81,"['Jose Berrios (15257965)', 'Max Scherzer (15257957)', 'Daulton Varsho (15258498)', 'Cody Bellinger (15257984)', 'Jonathan Schoop (15258064)', 'Bobby Dalbec (15258279)', 'Francisco Lindor (15258007)', 'Max Kepler (15258061)', 'Juan Soto (15257981)', 'Tyler Naquin (15258296)']"
82,"['Adrian Houser (15258614)', 'Max Scherzer (15257957)', 'Gary Sanchez (15258079)', 'Luke Voit (15258071)', 'Cesar Hernandez (15258088)', 'Manny Machado (15258022)', 'Willy Adames (15258089)', 'Max Kepler (15258061)', 'Adam Frazier (15258194)', 'Alex Gordon (15258463)']"
83,"['Jose Berrios (15257965)', 'Max Scherzer (15257957)', 'Willson Contreras (15258020)', 'Mitch Moreland (15258080)', 'Adam Frazier (15258194)', 'Bobby Dalbec (15258279)', 'Javier Baez (15258058)', 'Tyler Naquin (15258296)', 'Alex Verdugo (15258039)', 'J.D. Martinez (15258003)']"
84,"['Max Scherzer (15257957)', 'Walker Buehler (15258586)', 'Daulton Varsho (15258498)', 'Josh Bell (15258155)', 'DJ LeMahieu (15258035)', 'Jose Ramirez (15258011)', 'Adalberto Mondesi (15258218)', 'Christian Yelich (15258006)', 'Hunter Renfroe (15258151)', 'Gregory Polanco (15258267)']"
85,"['Jordan Montgomery (15257966)', 'Triston McKenzie (15257970)', 'Willson Contreras (15258020)', 'Mitch Moreland (15258080)', 'Keston Hiura (15258000)', 'Manny Machado (15258022)', 'Trea Turner (15257986)', 'Jurickson Profar (15258158)', 'Mike Tauchman (15258190)', 'Christian Yelich (15258006)']"
86,"['Jordan Montgomery (15257966)', 'Walker Buehler (15258586)', 'Gary Sanchez (15258079)', 'Mitch Moreland (15258080)', 'Adam Frazier (15258194)', 'Josh Donaldson (15258175)', 'Francisco Lindor (15258007)', 'Juan Soto (15257981)', 'Jose Peraza (15258324)', 'Christian Yelich (15258006)']"
